name;okrug;subject;cityname;vedomstvo;specific;y2017I1.1;y2017I1.2;y2017I1.3;y2017I1.4;y2017I1.5;y2017I1.6;y2017I1.7;y2017I1.8;y2017I1.9;y2017I1.10;y2017I1.11;y2017I1.12;y2017I1.13;y2017I1.14;y2017I1.15;y2017I2.1;y2017I2.2;y2017I2.3;y2017I2.4;y2017I2.5;y2017I2.6;y2017I2.7;y2017I2.8;y2017I2.9;y2017I2.10;y2017I2.11;y2017I2.12;y2017I2.13;y2017I2.14;y2017I2.15;y2017I2.16;y2017I3.1;y2017I3.2;y2017I3.3;y2017I3.4;y2017I3.5;y2017I3.6;y2017I3.7;y2017I3.8;y2017I3.9;y2017I3.10;y2017I3.11;y2017I3.12;y2017I3.13;y2017I4.1;y2017I4.2;y2017I4.3;y2017I4.4;y2017I5.1;y2017I5.2;y2017I5.3;y2017I5.4;y2017I5.5;y2017I5.6;y2017I5.7;y2017I5.8;y2017I6.1;y2017I7.1;y2017I7.2;y2017I7.3;y2017I7.4;y2017I7.5
Омский государственный медицинский университет Министерства здравоохранния Российской Федерации;3;15;Омск;9;4;76.47;76.47;58.58;41.66;0;0;198;23.32;0;15.21;0;8.72;18.79;97.35;10.19;32.86;44.14;236.12;5.94;22.56;138.74;9432.3;0.99;100;3.54;0;0;14.06;2.05;0;1.78;0;13.87;4.74;0;4.74;0;0;0;0;0;2.85;227.3;55014;942.11;50.03;159.47;242.61;12.53;0;9.76;2.77;0;0.31;39.19;175.53;85;56.11;20.73;76.12;8.18;86.76
Омский государственный педагогичесий университет;3;15;Омск;5;1;65.31;65.31;56.27;44.45;0;0;49;6.66;18.36;19.24;49.82;75.3;2.4;94.11;2.44;14.23;11.58;147.84;4.1;5.55;280.48;32540.2;5.64;100;56.91;0;0;7.89;1.3;1;2.17;0.4;6.41;10.28;0;10.28;0.43;0.19;0.48;2;0;24.51;470.5;21781.3;558.74;37.77;157.92;144.42;10.62;0;10.62;0;0;0.35;37.29;140.12;75;69.69;14.88;85.21;4.11;92.18
Омский государственный технический университет;3;15;Омск;5;1;65.54;65.47;55.33;43.31;0;1;478;22.48;14.71;16.42;21.93;33.28;2.82;86.27;18.27;30.77;50.89;340.45;6.01;8.53;155;205066.5;9.9;78.08;153.27;4;0;22.03;1.68;6;2.11;0.03;21.79;11.47;0;11.47;0;0;0.28;3;0;3.08;0;59309.7;783.65;35.91;229.14;199.92;8.31;0;7.65;0.66;0;0.38;63.08;115.44;75;52.45;10.49;63.22;3.57;89.39
Омский государственный университет путей сообщения;3;15;Омск;12;1;59.17;59.17;55.02;45.48;0;0;279;29.46;4.86;7.28;8.74;46.89;3.16;69.6;24.96;11.37;18.04;770.98;3.21;3.96;359.66;65760.4;7.96;55.44;158.83;8;0;17.9;1.65;4;0.74;0.6;12.3;5.87;0.19;5.68;0.07;0.02;0;0;0.66;3.95;0;22562.2;1046.13;51.2;183.71;171.64;11.5;0;11.49;0;0.01;0.4;37.94;154.38;80;71.97;10.84;80.94;4.07;86.89
Оренбургский государственный медицинский университет Министерства здравоохранения Российской Федерации;9;74;Оренбург;9;4;83.06;83.06;62.84;44.27;0;0;244;13.97;0;9.99;0;3.61;11.42;96.75;24.27;2.35;14.67;169.78;1.76;21.32;257.21;45002;6.36;100;49.61;0;0;19.38;2.23;2;2.15;5.1;18.59;0.21;0;0.21;0;0;0;0;0.55;0.18;1677.5;29289.7;535.96;38.71;147.28;149.16;10.68;0;6.7;3.98;0;0.19;8.27;83.08;90;54.08;16.19;73.36;7.33;72.94
Оренбургский государственный педагогический университет;9;74;Оренбург;5;1;69.02;69.02;58.73;47.64;0;0;35;5.7;8.77;9.46;28.42;42.26;1.74;97.28;2.49;9.64;16.38;1812.4;2.25;5.78;884.68;29444.6;6.28;100;65.53;0;0;10.43;2.85;1;12.53;0.04;2.49;1.04;0;1.04;0;0;0;0;0;14.58;0;125.1;442;28.01;130.11;177.76;16.2;0;16.2;0;0;0.38;45.04;225.96;75;65.03;15.79;81.22;4.66;92.04
Оренбургский государственный университет;9;74;Оренбург;5;1;66.78;66.78;59.16;44.3;0;0;42;2.06;14.84;15.82;24.63;95.42;1.6;80.45;3.44;35.14;50.33;1119.61;2.65;8.92;354.09;83464.5;5.53;96.41;40.1;0;0;20.33;2.43;5;5.41;0.13;7.64;5.73;0.4;5.33;0.09;0.05;0.28;3;0;11.54;1882.8;11000.9;327.69;20.46;178.82;154.86;10.46;0;10.42;0.04;0;0.33;24.18;104.9;75;62.98;13.09;77.08;4.62;93.53
Орловский государственный университет имени И.С.Тургенева;1;39;Орел;5;1;67.53;67.45;58.13;48.73;0;2;144;7.32;19.1;22.5;11.78;91.14;4.77;71.86;8.28;3.99;10.59;477.66;2.23;5.11;92.97;78056.3;4.37;80.42;33.39;0;0.03;19.57;1.34;10;5.02;2.95;1.65;3.27;2.1;1.17;0.07;0.03;0;0;1.52;1.52;0;22566.8;397.76;23.98;151.71;161.58;13.13;0;12.89;0.24;0;0.28;35.18;99.9;75;61.11;15.46;76.84;4.98;89.76
Орловский государственный университет экономики и торговли;1;39;Орел;5;1;0;0;59.93;52;0;0;0;0;18.83;20.48;18.75;96.78;2.24;22.21;0;0;8.7;1158.7;0;11.59;505.07;16999;11.23;100;113.67;0;0;21.74;0;3;0;0.54;16.2;16.32;0.84;15.47;0;0;0;0;0;0;0;15092.4;398.15;36.31;165.35;130.47;27.71;0;27.71;0;0;0.41;29.29;78.93;65;81.16;10.14;91.3;3.47;100
Пензенский государственный университет;9;75;Пенза;5;1;67.65;67.43;58.6;43.4;0;5;368;12.42;6.45;9.42;21.34;23.81;3.83;75.15;10.89;33.05;45.35;221.67;9.05;12.13;318.26;91144.3;5.12;93.97;55.61;3;0;18.12;1.73;14;3.87;4.08;6.2;5.93;1.17;4.77;0.19;0.08;0.31;3;3.28;0.36;1734.5;0;841.76;51.34;164.76;130.2;13.99;0;6.99;6.84;0;0.21;0.19;96.22;70;59.64;14.3;75.19;4.13;89.09
